r,t,y,TotalCapacityAnnual
"Atlantis_00A","DIST_RES",2036,38.7763538652336
"Atlantis_00A","DIST_RES",2037,40.936337329475
"Atlantis_00A","DIST_RES",2038,43.0963207937164
"Atlantis_00A","DIST_RES",2039,45.2459694088466
"Atlantis_00A","DIST_RES",2040,47.3956180239768
"Atlantis_00A","DIST_RES",2041,49.5556014882183
"Atlantis_00A","DIST_RES",2042,51.7155849524597
"Atlantis_00A","DIST_RES",2043,53.8652335675899
"Atlantis_00A","DIST_RES",2044,56.0148821827201
"Atlantis_00A","DIST_RES",2045,58.1748656469615
"Atlantis_00A","DIST_RES",2046,60.334849111203
"Atlantis_00A","DIST_RES",2047,62.4844977263332
"Atlantis_00A","DIST_RES",2048,64.6341463414634
"Atlantis_00A","DIST_RES",2049,66.7941298057048
"Atlantis_00A","DIST_RES",2050,68.9541132699463
"Atlantis_00A","DIST_RES",2051,71.1037618850765
"Atlantis_00A","DIST_RES",2052,73.2637453493179
"Atlantis_00A","DIST_RES",2053,75.4133939644481
"Atlantis_00A","DIST_RES",2054,77.5733774286895
"Atlantis_00A","DIST_RES",2055,79.7230260438198
"Atlantis_00A","DIST_SER",2014,6.50062009094667
"Atlantis_00A","DIST_SER",2015,7.02769739561802
"Atlantis_00A","DIST_SER",2016,7.44109136006615
"Atlantis_00A","DIST_SER",2017,7.74080198429103
"Atlantis_00A","DIST_SER",2018,8.10252170318313
"Atlantis_00A","DIST_SER",2019,8.3402232327408
"Atlantis_00A","DIST_SER",2020,7.6477883422902
"Atlantis_00A","DIST_SER",2021,8.89830508474576
"Atlantis_00A","DIST_SER",2022,9.13600661430343
"Atlantis_00A","DIST_SER",2023,9.3840429929723
"Atlantis_00A","DIST_SER",2024,9.64241422075238
"Atlantis_00A","DIST_SER",2025,9.90078544853245
"Atlantis_00A","DIST_SER",2026,10.2108309218685
"Atlantis_00A","DIST_SER",2027,10.5312112443158
"Atlantis_00A","DIST_SER",2028,10.8412567176519
"Atlantis_00A","DIST_SER",2029,11.1409673418768
"Atlantis_00A","DIST_SER",2030,11.4510128152129
"Atlantis_00A","DIST_SER",2031,11.761058288549
"Atlantis_00A","DIST_SER",2032,12.0814386109963
"Atlantis_00A","DIST_SER",2033,12.3914840843324
"Atlantis_00A","DIST_SER",2034,12.7015295576685
"Atlantis_00A","DIST_SER",2035,13.0115750310045
"Atlantis_00A","DIST_SER",2036,13.3216205043406
"Atlantis_00A","DIST_SER",2037,13.6316659776767
"Atlantis_00A","DIST_SER",2038,13.9417114510128
"Atlantis_00A","DIST_SER",2039,14.2517569243489
"Atlantis_00A","DIST_SER",2040,14.561802397685
"Atlantis_00A","DIST_SER",2041,14.8718478710211
"Atlantis_00A","DIST_SER",2042,15.1922281934684
"Atlantis_00A","DIST_SER",2043,15.5022736668045
"Atlantis_00A","DIST_SER",2044,15.8019842910294
"Atlantis_00A","DIST_SER",2045,16.1120297643654
