r,t,y,NewCapacity
"Atlantis_00A","DIST_RES",2022,14.0450599421248
"Atlantis_00A","DIST_RES",2023,14.3861099627945
"Atlantis_00A","DIST_RES",2024,14.7271599834642
"Atlantis_00A","DIST_RES",2025,15.0785448532451
"Atlantis_00A","DIST_RES",2026,15.4402645721373
"Atlantis_00A","DIST_RES",2027,15.8123191401406
"Atlantis_00A","DIST_RES",2028,16.1947085572551
"Atlantis_00A","DIST_RES",2029,16.5874328234808
"Atlantis_00A","DIST_RES",2030,16.7424555601488
"Atlantis_00A","DIST_RES",2031,17.1765192228193
"Atlantis_00A","DIST_RES",2032,17.6312525837123
"Atlantis_00A","DIST_RES",2033,18.0859859446052
"Atlantis_00A","DIST_RES",2034,18.5613890037205
"Atlantis_00A","DIST_RES",2035,18.9231087226126
"Atlantis_00A","DIST_RES",2036,19.4708557255064
"Atlantis_00A","DIST_RES",2037,20.0289375775114
"Atlantis_00A","DIST_RES",2038,20.5973542786275
"Atlantis_00A","DIST_RES",2039,21.1864406779661
"Atlantis_00A","DIST_RES",2040,21.6308391897478
"Atlantis_00A","DIST_RES",2041,22.25093013642
"Atlantis_00A","DIST_RES",2042,22.8813559322034
"Atlantis_00A","DIST_RES",2043,23.5324514262092
"Atlantis_00A","DIST_RES",2044,24.2042166184374
"Atlantis_00A","DIST_RES",2045,24.896651508888
"Atlantis_00A","DIST_RES",2046,25.609756097561
"Atlantis_00A","DIST_RES",2047,26.3331955353452
"Atlantis_00A","DIST_RES",2048,27.087639520463
"Atlantis_00A","DIST_RES",2049,27.8627532038032
"Atlantis_00A","DIST_RES",2050,27.800744109136
"Atlantis_00A","DIST_RES",2051,28.5965274906986
"Atlantis_00A","DIST_RES",2052,29.4129805704837
"Atlantis_00A","DIST_RES",2053,30.2501033484911
"Atlantis_00A","DIST_RES",2054,31.107895824721
"Atlantis_00A","DIST_RES",2055,31.9966928482844
"Atlantis_00A","DIST_SER",2014,6.50062009094667
"Atlantis_00A","DIST_SER",2015,7.02769739561802
"Atlantis_00A","DIST_SER",2016,7.44109136006615
"Atlantis_00A","DIST_SER",2017,7.74080198429103
"Atlantis_00A","DIST_SER",2018,8.10252170318313
"Atlantis_00A","DIST_SER",2019,8.3402232327408
"Atlantis_00A","DIST_SER",2020,7.6477883422902
"Atlantis_00A","DIST_SER",2021,8.89830508474576
"Atlantis_00A","DIST_SER",2022,9.13600661430343
"Atlantis_00A","DIST_SER",2023,9.3840429929723
"Atlantis_00A","DIST_SER",2024,9.64241422075238
"Atlantis_00A","DIST_SER",2025,9.90078544853245
"Atlantis_00A","DIST_SER",2026,10.1591566763125
"Atlantis_00A","DIST_SER",2027,10.438197602315
"Atlantis_00A","DIST_SER",2028,10.5312112443158
"Atlantis_00A","DIST_SER",2029,10.7275733774287
"Atlantis_00A","DIST_SER",2030,10.9239355105415
"Atlantis_00A","DIST_SER",2031,11.1306324927656
"Atlantis_00A","DIST_SER",2032,11.3373294749897
"Atlantis_00A","DIST_SER",2033,11.5130219098801
"Atlantis_00A","DIST_SER",2034,11.6680446465482
"Atlantis_00A","DIST_SER",2035,11.8230673832162
"Atlantis_00A","DIST_SER",2036,11.9884249689955
"Atlantis_00A","DIST_SER",2037,12.1537825547747
"Atlantis_00A","DIST_SER",2038,12.2881355932203
"Atlantis_00A","DIST_SER",2039,12.4018189334436
"Atlantis_00A","DIST_SER",2040,12.5155022736668
"Atlantis_00A","DIST_SER",2041,12.62918561389
"Atlantis_00A","DIST_SER",2042,12.7532038032245
"Atlantis_00A","DIST_SER",2043,12.8668871434477
"Atlantis_00A","DIST_SER",2044,12.9805704836709
"Atlantis_00A","DIST_SER",2045,13.1045886730054
"Atlantis_00A","DIST_SER",2046,13.2182720132286
"Atlantis_00A","DIST_SER",2047,13.342290202563
"Atlantis_00A","DIST_SER",2048,13.4146341463415
"Atlantis_00A","DIST_SER",2049,13.5386523356759
"Atlantis_00A","DIST_SER",2050,13.6626705250103
"Atlantis_00A","DIST_SER",2051,13.7866887143448
"Atlantis_00A","DIST_SER",2052,13.9107069036792
"Atlantis_00A","DIST_SER",2053,14.0450599421248
"Atlantis_00A","DIST_SER",2054,14.1690781314593
"Atlantis_00A","DIST_SER",2055,14.3034311699049
"Atlantis_00A","DIST_TRA",2014,0.010334849111203
"Atlantis_00A","DIST_TRA",2015,0.0310045473336089
"Atlantis_00A","DIST_TRA",2016,0.0310045473336089
"Atlantis_00A","DIST_TRA",2017,0.0516742455560149
"Atlantis_00A","DIST_TRA",2018,0.0826787928896238
"Atlantis_00A","DIST_TRA",2019,0.113683340223233
"Atlantis_00A","DIST_TRA",2020,0.0723439437784208
"Atlantis_00A","DIST_TRA",2021,0.0930136420008268
"Atlantis_00A","DIST_TRA",2022,0.0930136420008268
"Atlantis_00A","DIST_TRA",2023,0.113683340223233
"Atlantis_00A","DIST_TRA",2024,0.144687887556842
"Atlantis_00A","DIST_TRA",2025,0.175692434890451
"Atlantis_00A","DIST_TRA",2026,0.196362133112857
"Atlantis_00A","DIST_TRA",2027,0.227366680446466
"Atlantis_00A","DIST_TRA",2028,0.248036378668871
"Atlantis_00A","DIST_TRA",2029,0.27904092600248
"Atlantis_00A","DIST_TRA",2030,0.299710624224886
"Atlantis_00A","DIST_TRA",2031,0.38238941711451
"Atlantis_00A","DIST_TRA",2032,0.454733360892931
"Atlantis_00A","DIST_TRA",2033,0.558081852004961
"Atlantis_00A","DIST_TRA",2034,0.671765192228194
"Atlantis_00A","DIST_TRA",2035,0.640760644894585
"Atlantis_00A","DIST_TRA",2036,0.733774286895411
"Atlantis_00A","DIST_TRA",2037,0.847457627118644
"Atlantis_00A","DIST_TRA",2038,0.97147581645308
"Atlantis_00A","DIST_TRA",2039,1.11616370400992
"Atlantis_00A","DIST_TRA",2040,1.12649855312112
"Atlantis_00A","DIST_TRA",2041,1.25051674245556
"Atlantis_00A","DIST_TRA",2042,1.37453493179
"Atlantis_00A","DIST_TRA",2043,1.50888797023563
"Atlantis_00A","DIST_TRA",2044,1.63290615957007
"Atlantis_00A","DIST_TRA",2045,1.75692434890451
"Atlantis_00A","DIST_TRA",2046,1.89127738735015
