r,rr,l,f,y,Trade
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2042,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2043,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2044,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2045,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2046,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2047,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2048,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2049,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2050,0
"Atlantis_00A","Atlantis_00A","ID","EL_Distribution",2051,0
