r,t,y,CapitalInvestment
"Atlantis_00A","DIST_OTH",2031,0.00045059942124845
"Atlantis_00A","DIST_OTH",2032,0.000457833815626292
"Atlantis_00A","DIST_OTH",2033,0.000464034725093014
"Atlantis_00A","DIST_OTH",2034,0.000469202149648615
"Atlantis_00A","DIST_OTH",2035,0.000474369574204217
"Atlantis_00A","DIST_OTH",2036,0.000479536998759818
"Atlantis_00A","DIST_OTH",2037,0.00048573790822654
"Atlantis_00A","DIST_OTH",2038,0.000489871847871021
"Atlantis_00A","DIST_OTH",2039,0.000491938817693262
"Atlantis_00A","DIST_OTH",2040,0.000494005787515502
"Atlantis_00A","DIST_OTH",2041,0.000496072757337743
"Atlantis_00A","DIST_OTH",2042,0.000497106242248863
"Atlantis_00A","DIST_OTH",2043,0.000499173212071104
"Atlantis_00A","DIST_OTH",2044,0.000501240181893344
"Atlantis_00A","DIST_OTH",2045,0.000503307151715585
"Atlantis_00A","DIST_OTH",2046,0.000505374121537826
"Atlantis_00A","DIST_OTH",2047,0.000506407606448946
"Atlantis_00A","DIST_OTH",2048,0.000508474576271186
"Atlantis_00A","DIST_OTH",2049,0.000510541546093427
"Atlantis_00A","DIST_OTH",2050,0.000512608515915668
"Atlantis_00A","DIST_OTH",2051,0.000513642000826788
"Atlantis_00A","DIST_OTH",2052,0.000515708970649029
"Atlantis_00A","DIST_OTH",2053,0.000517775940471269
"Atlantis_00A","DIST_OTH",2054,0.00051984291029351
"Atlantis_00A","DIST_OTH",2055,0.00052190988011575
"Atlantis_00A","DIST_RES",2014,0.0010438197602315
"Atlantis_00A","DIST_RES",2015,0.00111306324927656
"Atlantis_00A","DIST_RES",2016,0.00117507234394378
"Atlantis_00A","DIST_RES",2017,0.00119987598181067
"Atlantis_00A","DIST_RES",2018,0.00123501446878876
"Atlantis_00A","DIST_RES",2019,0.00126601901612236
"Atlantis_00A","DIST_RES",2020,0.00135593220338983
"Atlantis_00A","DIST_RES",2021,0.00135386523356759
"Atlantis_00A","DIST_RES",2022,0.00140450599421248
"Atlantis_00A","DIST_RES",2023,0.00143861099627945
"Atlantis_00A","DIST_RES",2024,0.00147271599834642
"Atlantis_00A","DIST_RES",2025,0.00150785448532451
"Atlantis_00A","DIST_RES",2026,0.00154402645721372
"Atlantis_00A","DIST_RES",2027,0.00158123191401406
"Atlantis_00A","DIST_RES",2028,0.00161947085572551
"Atlantis_00A","DIST_RES",2029,0.00165874328234808
"Atlantis_00A","DIST_RES",2030,0.00167424555601488
"Atlantis_00A","DIST_RES",2031,0.00171765192228193
"Atlantis_00A","DIST_RES",2032,0.00176312525837123
"Atlantis_00A","DIST_RES",2033,0.00180859859446052
"Atlantis_00A","DIST_RES",2034,0.00185613890037205
"Atlantis_00A","DIST_RES",2035,0.00189231087226127
"Atlantis_00A","DIST_RES",2036,0.00194708557255064
"Atlantis_00A","DIST_RES",2037,0.00200289375775114
"Atlantis_00A","DIST_RES",2038,0.00205973542786275
"Atlantis_00A","DIST_RES",2039,0.00211864406779661
"Atlantis_00A","DIST_RES",2040,0.00216308391897478
"Atlantis_00A","DIST_RES",2041,0.002225093013642
